Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
35,31,2017-01-03,27-331,BOS,,UTA,W (+11),1,35:25,.734,.694,0.0,15.1,8.1,74.1,1.5,0.0,4.8,29.8,159,118,30.9,16.8
36,32,2017-01-06,27-334,BOS,,PHI,W (+4),1,34:38,.637,.500,2.8,12.2,6.7,15.6,0.0,0.0,27.1,31.1,99,114,11.3,-7.9
37,33,2017-01-07,27-335,BOS,,NOP,W (+9),1,38:01,.713,.667,2.6,6.2,4.3,0.0,2.7,2.3,3.6,31.1,142,114,28.6,13.2
38,34,2017-01-10,27-338,BOS,@,TOR,L (-8),1,36:32,.588,.500,0.0,3.0,1.6,31.2,0.0,0.0,4.2,29.2,125,125,20.7,6.8
39,35,2017-01-11,27-339,BOS,,WAS,W (+9),1,38:00,.601,.569,10.0,5.0,7.1,24.9,0.0,0.0,11.2,42.1,121,121,24.7,3.0
40,36,2017-01-13,27-341,BOS,@,ATL,W (+2),1,36:16,.603,.548,3.3,8.6,6.2,49.5,0.0,0.0,17.7,36.1,115,118,19.4,5.0
41,37,2017-01-16,27-344,BOS,,CHO,W (+10),1,31:11,.700,.700,3.8,13.4,8.9,30.1,0.0,0.0,10.7,42.9,119,111,24.4,11.5
42,38,2017-01-18,27-346,BOS,,NYK,L (-11),1,36:58,.663,.580,5.4,3.1,4.3,13.4,1.4,0.0,6.4,38.2,126,132,28.4,10.4
43,39,2017-01-21,27-349,BOS,,POR,L (-4),1,43:32,.624,.571,2.9,5.8,4.3,29.3,0.0,0.0,15.4,37.3,117,123,25.3,4.3
44,40,2017-01-24,27-352,BOS,@,WAS,L (-15),1,34:58,.524,.395,0.0,4.3,1.8,62.9,2.8,0.0,11.2,34.3,115,127,21.3,4.3
45,41,2017-01-25,27-353,BOS,,HOU,W (+11),1,38:04,.661,.630,10.5,6.0,8.1,40.4,1.2,0.0,9.4,34.5,136,112,31.7,12.2
46,42,2017-01-27,27-355,BOS,,ORL,W (+30),1,24:42,.700,.700,0.0,12.4,6.9,53.8,6.0,3.1,11.8,31.3,134,90,21.4,14.5
47,43,2017-01-28,27-356,BOS,@,MIL,W (+4),1,40:39,.741,.667,0.0,8.9,4.3,46.0,1.3,0.0,10.7,31.6,138,108,30.0,14.7
48,44,2017-01-30,27-358,BOS,,DET,W (+4),1,37:14,.693,.565,0.0,0.0,0.0,47.3,2.6,0.0,9.2,39.8,134,112,32.3,13.1
49,45,2017-02-01,27-360,BOS,,TOR,W (+5),1,37:56,.758,.659,0.0,14.5,6.3,42.6,0.0,0.0,9.4,37.1,147,115,34.9,18.3
50,46,2017-02-03,27-362,BOS,,LAL,W (+6),1,37:41,.702,.646,0.0,4.6,2.6,22.7,1.3,0.0,18.1,38.2,111,112,24.0,4.1
